stationName,Lat,Long,tripRatio1,tripRatio2,tripRatio3,tripRatio4,tripRatio5,tripRatio6,tripRatio7,tripRatio8,tripRatio9,tripRatio10,tripRatio11,tripRatio12,tripRatio13,tripRatio14,tripRatio15,tripRatio16,tripRatio17,tripRatio18,tripRatio19,tripRatio20,tripRatio21,tripRatio22,tripRatio23,tripRatio24,tripRatio25,tripRatio26,tripRatio27,tripRatio28,tripRatio29,tripRatio30,tripRatio31,tripRatio32,tripRatio33,tripRatio34,tripRatio35,tripRatio36,tripRatio37,tripRatio38,tripRatio39,tripRatio40,tripRatio41,tripRatio42,tripRatio43,tripRatio44,tripRatio45,tripRatio46,tripRatio47,tripRatio48,totalTrips1,totalTrips2,totalTrips3,totalTrips4,totalTrips5,totalTrips6,totalTrips7,totalTrips8,totalTrips9,totalTrips10,totalTrips11,totalTrips12,totalTrips13,totalTrips14,totalTrips15,totalTrips16,totalTrips17,totalTrips18,totalTrips19,totalTrips20,totalTrips21,totalTrips22,totalTrips23,totalTrips24,totalTrips25,totalTrips26,totalTrips27,totalTrips28,totalTrips29,totalTrips30,totalTrips31,totalTrips32,totalTrips33,totalTrips34,totalTrips35,totalTrips36,totalTrips37,totalTrips38,totalTrips39,totalTrips40,totalTrips41,totalTrips42,totalTrips43,totalTrips44,totalTrips45,totalTrips46,totalTrips47,totalTrips48
Boylston at Fairfield,42.348762,-71.082383,0.5,-0.142857142857143,1,1,0,0,0,0,0,-1,-1,0.333333333333333,-0.181818181818182,-0.534883720930233,-0.404255319148936,0.333333333333333,-0.1875,-0.176470588235294,-0.13953488372093,0.0952380952380952,0,0.117647058823529,0.0491803278688525,0.278688524590164,-0.0810810810810811,0.05,0.116883116883117,0.0196078431372549,0.101449275362319,-0.119047619047619,0.108433734939759,0.0625,-0.0120481927710843,0.121212121212121,0.329192546583851,0.0748299319727891,-0.140625,-0.306930693069307,0.102564102564103,0.0714285714285714,-0.0869565217391304,-0.0476190476190476,0.0303030303030303,0,-0.0909090909090909,0.4,0.6,0.142857142857143,4,7,2,1,2,0,0,0,0,1,1,6,22,43,47,60,128,187,86,42,56,68,61,61,74,80,77,51,69,84,83,64,83,132,161,147,128,101,78,84,46,42,33,12,22,10,5,7
Dorchester Ave. at Gillette Park,42.344023,-71.057054,1,0,0,0,0,0,0,0,-1,-1,0,0.6,0.666666666666667,0.538461538461538,-0.0769230769230769,0.185185185185185,0.55,0.63265306122449,0.333333333333333,0.263157894736842,0.0909090909090909,0.6,0,-0.666666666666667,-0.142857142857143,0.111111111111111,0.6,-0.142857142857143,-0.333333333333333,-0.454545454545455,0.142857142857143,-0.25,-0.0769230769230769,-0.0588235294117647,-0.5,-0.511111111111111,-0.454545454545455,-0.647058823529412,-0.0833333333333333,-0.285714285714286,-0.333333333333333,-0.272727272727273,-1,-0.75,0.6,0.2,0.5,0,1,0,0,0,0,0,0,0,1,1,0,5,6,13,26,27,40,49,24,19,11,10,4,6,7,9,10,7,3,11,7,8,13,17,32,45,22,34,24,14,9,11,3,8,5,10,4,0
Congress / Sleeper,42.3511,-71.0496,1,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,-0.745454545454545,-0.808510638297872,-0.911504424778761,-0.76969696969697,-0.674418604651163,-0.613636363636364,-0.342105263157895,-0.1,0.222222222222222,0.238095238095238,-0.0294117647058824,-0.194805194805195,0.147540983606557,0.161290322580645,0.04,0.111111111111111,0.333333333333333,0.548387096774194,0.476923076923077,0.644859813084112,0.732283464566929,0.63,0.644859813084112,0.379310344827586,0.0882352941176471,0.235294117647059,0.36,0.142857142857143,0.5,0.333333333333333,0.428571428571429,1,0,0.5,-1,3,1,0,0,0,0,0,0,0,0,0,3,9,55,94,113,165,172,88,76,40,36,21,68,77,61,62,50,45,45,31,65,107,127,200,107,87,68,34,25,21,12,6,7,1,4,4,4
Boston Convention & Exhibition Center,42.3475,-71.0441,0.5,0,1,1,0,0.5,0,0,0,0,-1,0,-1,1,-0.5,-0.5,-0.591836734693878,-0.470588235294118,-0.666666666666667,-0.6,-1,-0.166666666666667,0.230769230769231,0.454545454545455,0.111111111111111,-0.272727272727273,0.454545454545455,-0.0909090909090909,0.5,0.8,-0.125,1,0.333333333333333,0.575757575757576,0.648648648648649,0.583333333333333,0.444444444444444,1,0.142857142857143,0,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.428571428571429,1,-0.6,4,0,1,1,0,4,0,0,0,0,3,0,1,1,4,20,49,34,24,15,7,12,13,11,9,11,11,11,8,10,16,7,12,33,74,24,18,10,7,6,4,6,6,3,3,7,2,5
Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,-1,-1,-0.333333333333333,0,0,0,0,0,0,0,0,1,1,1,1,1,0.976744186046512,1,1,0.882352941176471,0.8,0.285714285714286,0.294117647058824,0.857142857142857,0,0.25,0.666666666666667,-0.0666666666666667,-0.636363636363636,-0.333333333333333,-0.75,-0.777777777777778,0,-0.45,-0.517241379310345,-0.56,-0.354838709677419,-0.407407407407407,-0.636363636363636,-0.655172413793103,-0.538461538461538,-0.714285714285714,-0.733333333333333,-0.5,0.166666666666667,-1,-0.230769230769231,-0.285714285714286,1,2,3,0,0,0,0,0,0,0,0,3,16,18,9,54,86,38,16,17,10,14,17,14,8,16,6,15,11,9,8,36,34,40,29,50,31,27,33,29,26,21,15,8,12,2,13,14
MIT at Mass Ave / Amherst St,42.3581,-71.093198,-0.0344827586206897,-0.0434782608695652,-0.230769230769231,-0.142857142857143,-0.230769230769231,0.2,0.5,0.333333333333333,0.5,0,0.333333333333333,-0.866666666666667,-0.8,-0.902439024390244,-0.527272727272727,-0.406779661016949,-0.639175257731959,-0.607142857142857,-0.4,0.05,-0.0303030303030303,-0.0588235294117647,0.254054054054054,-0.0256410256410256,0.104602510460251,0.205211726384365,0.0860927152317881,0.0258620689655172,0.0781893004115226,0.117408906882591,0.270491803278689,0.0671936758893281,0.150943396226415,0.192411924119241,0.246006389776358,0.0666666666666667,0.0777777777777778,-0.032258064516129,0.0340909090909091,-0.0078740157480315,0.105263157894737,-0.0526315789473684,0.0105263157894737,-0.134020618556701,0.126760563380282,-0.148936170212766,0,0.162790697674419,29,23,13,21,13,5,4,6,4,4,3,15,10,41,55,118,194,280,150,120,132,119,185,195,239,307,302,232,243,247,244,253,318,369,313,225,180,186,176,127,114,114,95,97,71,47,82,43
Central Square at Mass Ave / Essex St,42.36507,-71.1031,0,0.2,0.714285714285714,0.333333333333333,1,0.2,-1,-1,0,1,-1,-0.333333333333333,-0.25,0.727272727272727,0.151515151515152,0.372549019607843,-0.13953488372093,0.094017094017094,0.164556962025316,0.0153846153846154,0.127272727272727,0.172413793103448,-0.185185185185185,0.09375,-0.156626506024096,-0.0422535211267606,0.195402298850575,0,-0.142857142857143,-0.152173913043478,-0.0681818181818182,0.168539325842697,-0.169811320754717,-0.276073619631902,-0.209677419354839,0.0287769784172662,-0.0572687224669604,-0.120879120879121,0.112299465240642,0.0579710144927536,0,0.192307692307692,0.118279569892473,0.230769230769231,0.185185185185185,0.347826086956522,0.0909090909090909,0.3,14,10,7,3,2,5,1,2,0,1,1,3,16,22,33,51,86,117,79,65,55,58,81,64,83,71,87,62,84,92,88,89,106,163,248,278,227,182,187,138,94,104,93,65,54,46,44,20
Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,0,-1,-1,0.333333333333333,0,1,0,0,0,0,-0.5,0.92,0.777777777777778,0.928571428571429,0.789473684210526,1,0.830508474576271,0.777777777777778,0.363636363636364,0.222222222222222,-0.333333333333333,-0.428571428571429,-0.176470588235294,0.263157894736842,-0.461538461538462,0.263157894736842,0.0344827586206897,-0.0526315789473684,-0.032258064516129,-0.333333333333333,-0.222222222222222,-0.421052631578947,-0.509433962264151,-0.396825396825397,-0.446808510638298,-0.5625,-0.392405063291139,-0.333333333333333,-0.393939393939394,-0.642857142857143,-0.0909090909090909,0,0,-0.333333333333333,-0.5,-0.8,-1,-0.2,0,2,1,3,0,1,0,0,0,0,4,25,9,28,38,27,118,54,22,18,27,14,17,19,26,19,29,19,31,27,36,38,53,63,94,96,79,60,33,28,22,20,18,18,4,10,1,5
Fan Pier,42.3532874345329,-71.0443890094757,0,0,0,0,1,0,0,0,0,0,0,-0.333333333333333,-1,-1,-1,-1,-0.880952380952381,-0.349397590361446,-0.963636363636364,-0.916666666666667,-1,0.333333333333333,-0.285714285714286,0.2,0.285714285714286,0.0833333333333333,0.111111111111111,-0.222222222222222,0.636363636363636,0.333333333333333,0.666666666666667,0.428571428571429,0.581395348837209,0.59375,0.738317757009346,0.674418604651163,0.407407407407407,0.523809523809524,0.6,0.333333333333333,-0.2,0.2,0.25,1,0.2,1,0.5,1,0,0,0,0,1,0,0,0,2,0,0,3,1,21,35,47,84,83,55,24,5,9,14,15,28,24,18,18,11,21,42,21,43,64,107,43,27,21,10,3,5,5,8,7,5,4,8,1
Harvard Kennedy School at Bennett St / Eliot St,42.3719916540868,-71.1222696304321,0,0,0,0,1,-1,0,0,0,0,0,-1,-1,-1,-0.875,-0.948717948717949,-0.868131868131868,-0.90625,-0.666666666666667,-0.444444444444444,-0.304347826086957,-0.230769230769231,0.1,-0.294117647058824,-0.210526315789474,-0.0256410256410256,0.103448275862069,0.121951219512195,0.315789473684211,-0.133333333333333,0.487179487179487,0.346938775510204,0.123595505617978,0.454545454545455,0.569620253164557,0.393939393939394,-0.0277777777777778,0.163636363636364,0.469387755102041,0.5,0.625,0.1,0.4,0.411764705882353,0.833333333333333,0.833333333333333,0.2,0.75,0,0,0,0,2,1,0,0,0,0,0,5,5,8,16,39,91,128,60,36,69,26,40,51,38,39,58,41,38,60,39,49,89,55,79,99,72,55,49,32,32,20,30,17,12,12,5,8
Conway Park - Somerville Avenue,42.383405,-71.107593,0.2,1,0,0,0,0,0,0,0,1,1,1,1,0.666666666666667,1,0.9,0.666666666666667,0.643835616438356,0.515151515151515,0.238095238095238,0.2,0.5,0.285714285714286,0.571428571428571,-0.111111111111111,0.176470588235294,0.4,0.454545454545455,0.166666666666667,-0.555555555555556,-0.2,-0.166666666666667,-0.241379310344828,-0.357142857142857,-0.463414634146341,-0.612903225806452,-0.102040816326531,-0.666666666666667,-0.314285714285714,-0.567567567567568,-0.625,-0.333333333333333,-0.294117647058824,-0.333333333333333,-0.466666666666667,-0.25,-0.0909090909090909,-0.25,5,1,0,0,0,2,0,0,0,3,21,4,9,6,11,20,36,73,33,21,15,12,14,14,9,17,10,11,12,9,10,12,29,28,41,31,49,54,35,37,32,21,17,15,15,8,11,8
One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,0.333333333333333,1,0,1,0,1,0,0,0,0,0,-1,-1,-0.5,-0.771428571428571,-0.846153846153846,-0.826086956521739,-0.6,-0.25,-0.285714285714286,-0.3,-0.333333333333333,0.0476190476190476,-0.0714285714285714,0.032258064516129,-0.0232558139534884,-0.227272727272727,0.225806451612903,0.0666666666666667,-0.0769230769230769,0.15,0.3,0.681159420289855,0.82051282051282,0.634146341463415,0.733333333333333,0.566265060240964,0.378378378378378,0.347826086956522,0.333333333333333,0.368421052631579,0.6,0.111111111111111,0.777777777777778,-0.5,0,-0.2,-1,3,1,0,2,4,1,0,0,0,0,0,1,2,4,35,104,69,85,64,56,40,27,21,28,31,43,44,31,30,39,40,60,69,78,82,75,83,74,46,27,19,5,9,9,4,4,5,1
Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,0,-0.5,1,0,0,0,0,0,0,0,0,-1,0,0,-0.473684210526316,-0.372549019607843,-0.736842105263158,-0.669565217391304,-0.242424242424242,-0.26984126984127,-0.214285714285714,-0.354838709677419,-0.1875,-0.178571428571429,-0.137254901960784,0.294117647058824,-0.168831168831169,0.0540540540540541,0.0555555555555556,0.116883116883117,-0.0357142857142857,0.223880597014925,0.170212765957447,0.319148936170213,0.21259842519685,0.137254901960784,-0.010989010989011,0.235294117647059,-0.032258064516129,-0.0196078431372549,0.333333333333333,0.625,0.411764705882353,0.272727272727273,0.384615384615385,0,0,0,4,4,2,4,0,0,0,0,0,0,0,1,4,2,19,51,76,115,66,63,56,31,32,56,51,51,77,74,72,77,56,67,94,94,127,102,91,68,62,51,39,16,17,22,13,8,10,2
Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,0.428571428571429,0.555555555555556,0.428571428571429,1,-1,1,0,1,0,0,-0.333333333333333,-1,-1,-0.111111111111111,-0.25,-0.333333333333333,-0.486238532110092,-0.552447552447552,-0.487603305785124,-0.213114754098361,0.0185185185185185,-0.111111111111111,-0.272727272727273,-0.162393162393162,0.0697674418604651,0,0.128205128205128,0.0714285714285714,0.0973451327433628,-0.132743362831858,0.195652173913043,0.0731707317073171,-0.0534351145038168,-0.0617283950617284,0.107344632768362,0.0461538461538462,-0.0428571428571429,0.020979020979021,0.109243697478992,0.0645161290322581,0.170212765957447,0.223529411764706,0.358974358974359,0.213114754098361,-0.0638297872340425,0.230769230769231,0.111111111111111,0.2,7,9,7,7,1,3,4,1,0,0,3,4,3,18,16,66,109,143,121,61,108,99,88,117,129,124,117,140,113,113,92,123,131,162,177,195,140,143,119,124,94,85,78,61,47,39,36,20
Lafayette Square at Mass Ave / Main St / Columbia St,42.3634646930435,-71.1005732417107,0.0909090909090909,0.0769230769230769,0.272727272727273,-1,0.5,-1,-1,1,-1,1,0,1,0.2,0.142857142857143,0.375,0.166666666666667,0.176470588235294,0.0217391304347826,0.193548387096774,0.314285714285714,0.297297297297297,0.533333333333333,-0.310344827586207,0.0555555555555556,-0.25,-0.130434782608696,0.0476190476190476,0.157894736842105,0.2,0.0434782608695652,0,0.135135135135135,-0.302325581395349,-0.0666666666666667,0.0434782608695652,0.0943396226415094,0.0526315789473684,-0.173333333333333,-0.115384615384615,0.26530612244898,-0.0545454545454545,0,0.0666666666666667,0.132075471698113,0.351351351351351,-0.0476190476190476,0.04,0.130434782608696,11,13,11,3,4,2,1,1,1,1,0,1,5,7,16,24,51,92,62,35,37,30,29,36,48,46,63,38,35,46,28,37,43,45,69,106,95,75,52,49,55,44,45,53,37,21,25,23
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,0.4,0.2,-0.5,0,-1,0,-1,0,-1,0,-1,-0.666666666666667,-0.333333333333333,0.4,0.0909090909090909,0.178082191780822,0.36283185840708,0.0869565217391304,0.543478260869565,0.206896551724138,0.306122448979592,-0.0769230769230769,0.0344827586206897,0.0212765957446809,-0.0566037735849057,-0.0555555555555556,0.333333333333333,0.210526315789474,0.272727272727273,-0.294117647058824,0.135135135135135,0.0625,-0.2,-0.150684931506849,-0.0571428571428571,-0.184466019417476,-0.133858267716535,-0.232,-0.367088607594937,-0.215189873417722,-0.230769230769231,0.1,0.04,-0.0434782608695652,-0.25,0.5,0.125,0.2,10,5,8,2,1,2,1,0,1,0,1,6,3,20,22,73,113,138,92,58,49,39,29,47,53,72,60,38,33,34,37,32,40,73,70,103,127,125,79,79,78,60,50,46,16,32,16,15
Somerville City Hall,42.386844,-71.09812,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0.75,1,-0.0588235294117647,1,0.727272727272727,1,1,0.8,1,1,0.6,0.333333333333333,0,0.2,0,0.142857142857143,1,0,-0.666666666666667,-0.333333333333333,-0.0909090909090909,0.111111111111111,-0.666666666666667,-0.384615384615385,-0.333333333333333,0,0.2,-0.75,-0.333333333333333,-0.333333333333333,0,-0.333333333333333,-0.5,0.142857142857143,-0.8,7,2,1,1,2,0,0,0,0,0,0,0,0,8,8,17,26,22,20,13,10,13,4,5,6,0,5,6,14,5,6,6,6,11,18,6,13,15,10,5,8,9,3,4,3,4,7,10
Union Square - Somerville,42.379637,-71.095319,0,0,-1,-1,0,0,0,0,0,0,-1,0.75,1,0.75,0.578947368421053,0.636363636363636,0.736842105263158,0.543859649122807,0.6,0.862068965517241,0.777777777777778,0.454545454545455,-0.230769230769231,0,0.333333333333333,0.176470588235294,-0.466666666666667,0.111111111111111,0.0526315789473684,0.12,0.142857142857143,0,-0.36,-0.441860465116279,-0.04,-0.466666666666667,-0.403508771929825,-0.5,-0.588235294117647,-0.36,-0.310344827586207,-0.523809523809524,-0.4,-0.4,-0.142857142857143,-0.384615384615385,-0.647058823529412,-0.714285714285714,4,0,1,1,0,0,0,0,0,0,1,8,32,8,19,11,38,57,50,29,18,22,13,14,21,17,15,9,19,25,14,18,25,43,25,45,57,28,34,25,29,21,10,20,14,13,17,7
Beacon St at Washington / Kirkland,42.37842,-71.105668,-0.25,0.2,-1,1,-1,-1,0,0,0,0,1,-1,1,0.7,0.567567567567568,0.787234042553192,0.887096774193548,0.586206896551724,0.16,0.68,-0.333333333333333,0.6,0.333333333333333,-0.333333333333333,0.0344827586206897,0.363636363636364,0.04,0.3,0.230769230769231,0.333333333333333,-0.25,-0.185185185185185,-0.5625,-0.125,-0.346153846153846,-0.322033898305085,-0.573333333333333,-0.525423728813559,-0.538461538461538,-0.315789473684211,-0.0454545454545455,-0.393939393939394,-0.529411764705882,-0.375,-0.111111111111111,-0.647058823529412,0.2,0,8,5,1,2,1,2,0,0,0,0,1,1,8,20,37,47,124,58,50,25,9,15,6,12,29,22,25,20,13,15,16,27,32,32,52,59,75,59,52,38,44,33,17,16,9,17,5,8
Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,-1,0,1,0,-0.5,-1,0,1,0,1,0,0,0,1,1,0.931034482758621,0.947368421052632,0.904761904761905,0.846153846153846,0.928571428571429,0.75,1,0.428571428571429,0.111111111111111,0.230769230769231,0.454545454545455,0.5,-0.111111111111111,0.0434782608695652,0.368421052631579,-0.333333333333333,-0.28,-0.6,-0.448275862068966,-0.621621621621622,-0.55,-0.588235294117647,-0.384615384615385,-0.523809523809524,-0.407407407407407,-0.80952380952381,-0.238095238095238,-0.363636363636364,-0.333333333333333,-0.4,-1,-0.2,0.333333333333333,3,2,2,0,4,1,0,2,0,1,0,0,0,1,4,29,38,21,26,28,24,8,7,9,13,11,12,9,23,19,9,25,20,29,37,40,34,39,21,27,21,21,22,24,10,10,10,9
MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,0.5,-1,0,1,-0.5,1,1,0,0,-1,-1,-0.333333333333333,-0.714285714285714,-1,-1,-0.870967741935484,-0.925465838509317,-0.933554817275748,-0.95625,-0.882005899705015,-0.866666666666667,-0.76056338028169,-0.434782608695652,-0.277777777777778,-0.265822784810127,-0.25531914893617,-0.178378378378378,-0.0687022900763359,0.0335570469798658,0.127272727272727,0.32824427480916,0.570621468926554,0.495867768595041,0.701492537313433,0.645320197044335,0.659863945578231,0.627586206896552,0.428571428571429,0.410714285714286,0.310344827586207,0.333333333333333,0.3125,0.153846153846154,0.428571428571429,0.333333333333333,0.142857142857143,0.2,0.5,4,1,2,2,4,1,1,0,0,1,1,33,14,34,80,124,161,301,320,339,270,284,184,180,158,188,185,131,149,165,131,177,242,201,203,147,145,140,112,58,42,32,26,7,12,14,15,16
Boylston St / Washington St,42.352409,-71.062679,1,-1,0,0.2,0.333333333333333,0,0,0,0,-0.666666666666667,-0.636363636363636,-0.2,-0.285714285714286,-0.363636363636364,0.0714285714285714,-0.024390243902439,0.352112676056338,-0.342465753424658,-0.272727272727273,-0.586206896551724,0.0454545454545455,0.04,-0.0833333333333333,-0.135135135135135,-0.25,-0.137254901960784,0.163636363636364,0.208333333333333,-0.130434782608696,0.166666666666667,-0.0447761194029851,0.19047619047619,0.0967741935483871,0.123287671232877,-0.207920792079208,0.159090909090909,0.131313131313131,0,0.12280701754386,0.0416666666666667,0.513513513513513,0.1875,0.166666666666667,0.0588235294117647,0.4,-0.0909090909090909,-0.5,0,3,1,0,5,6,0,0,0,0,6,11,20,28,22,56,41,71,73,44,29,44,25,24,37,56,51,55,48,46,36,67,42,62,73,101,88,99,82,57,48,37,32,24,34,10,11,8,8
Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,0,-1,-1,0,0,0,0,0,0,-1,1,1,1,0.777777777777778,1,0.954545454545455,1,0.916666666666667,0.75,0.6,0.272727272727273,0.666666666666667,0.4,0.111111111111111,0.555555555555556,0.2,0.6,-0.272727272727273,-0.6,0.5,-0.142857142857143,-0.333333333333333,-0.478260869565217,-0.333333333333333,-0.571428571428571,-0.466666666666667,-1,-0.846153846153846,-0.684210526315789,-0.4,-0.5,-0.833333333333333,-0.428571428571429,-0.111111111111111,-1,-0.714285714285714,-1,0,2,1,1,0,0,0,0,0,0,1,7,6,2,9,15,44,41,24,16,15,11,6,10,9,18,10,10,11,5,16,14,12,23,15,28,30,47,26,19,20,20,12,7,9,4,7,3,0
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-0.2,-0.25,-0.644444444444444,-0.428571428571429,-0.672727272727273,-0.613636363636364,-0.647058823529412,-0.35,-0.157894736842105,0.0434782608695652,-0.28,0.173913043478261,0.12,0.2,0,0.2,-0.0204081632653061,0.421052631578947,0.333333333333333,0.448275862068966,0.461538461538462,0.539823008849557,0.0588235294117647,0.214285714285714,-0.135135135135135,0.04,-0.25,0.0909090909090909,0.411764705882353,0.333333333333333,-0.142857142857143,0.111111111111111,-0.428571428571429,1,-0.2,0,0,0,0,2,0,0,1,4,5,1,3,0,10,16,45,84,110,88,34,40,38,23,25,46,50,55,48,45,49,38,51,87,104,113,68,56,37,25,24,22,17,6,7,9,7,2,5
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,1,0,0,0,1,0,0,0,0,1,1,0.6,-0.125,0.0769230769230769,0,-0.142857142857143,-0.358490566037736,-0.653846153846154,-0.769230769230769,-0.666666666666667,-0.444444444444444,-0.5,-0.454545454545455,0,-0.6,-0.428571428571429,0.310344827586207,0.230769230769231,0.555555555555556,0.428571428571429,0.5,0.478260869565217,0.647058823529412,0.707317073170732,0.333333333333333,-0.157894736842105,-0.0169491525423729,-0.0344827586206897,-0.222222222222222,0.4,-0.181818181818182,-0.333333333333333,0,0,-0.666666666666667,-0.5,0,-1,1,0,0,0,1,0,0,0,0,2,2,5,16,13,10,35,53,52,52,42,18,20,11,14,10,28,29,13,9,42,24,46,68,41,81,76,59,29,18,10,22,12,6,2,6,4,0,3
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,0.6,-0.2,-0.5,-0.333333333333333,0,-1,1,1,0,-1,0,0,0,-0.333333333333333,0.793103448275862,0.642857142857143,0.906976744186046,0.614035087719298,0.276595744680851,0.882352941176471,-0.04,0.259259259259259,0.411764705882353,0.268292682926829,-0.416666666666667,0.121951219512195,-0.0819672131147541,-0.35,-0.125,0.0204081632653061,-0.127272727272727,-0.170731707317073,-0.433962264150943,-0.538461538461538,-0.363636363636364,-0.195652173913043,-0.371428571428571,-0.423728813559322,-0.6,-0.162790697674419,-0.0625,-0.172413793103448,-0.128205128205128,-0.76,-0.2,0.142857142857143,0,-0.454545454545455,5,5,4,3,0,1,1,1,0,1,0,0,0,3,29,84,129,57,47,17,25,27,34,41,48,41,61,40,32,49,55,41,53,52,88,92,70,59,60,43,32,29,39,25,20,14,6,11
Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,-1,0.333333333333333,-0.5,-1,0,1,0,0,0,1,-0.6,1,0.8,0.285714285714286,0.846153846153846,0.571428571428571,0.645390070921986,0.730496453900709,0.571428571428571,0.548387096774194,0.428571428571429,-0.0833333333333333,0.384615384615385,0.116279069767442,-0.0256410256410256,0.384615384615385,-0.0303030303030303,-0.0526315789473684,0.2,0,-0.032258064516129,0.027027027027027,-0.333333333333333,-0.5,-0.297297297297297,-0.338582677165354,-0.326530612244898,-0.634146341463415,-0.675,-0.142857142857143,0,-0.291666666666667,-0.297297297297297,-0.0666666666666667,-0.478260869565217,-0.28,-0.0769230769230769,-0.294117647058824,6,3,4,2,0,1,0,0,0,1,5,7,10,14,26,98,141,141,42,31,21,24,26,43,39,52,33,38,25,40,31,37,33,36,74,127,98,82,80,63,38,48,37,30,23,25,13,17
Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1,1,1,-1,0,1,0,0,0,0,0,1,0.2,0.0526315789473684,0.666666666666667,-0.454545454545455,-0.478260869565217,-0.346938775510204,-0.275862068965517,-0.357142857142857,-0.387755102040816,-0.161290322580645,-0.121951219512195,0.04,-0.121951219512195,-0.210526315789474,-0.0454545454545455,-0.285714285714286,0.0588235294117647,-0.166666666666667,0.4,-0.0909090909090909,-0.235294117647059,-0.0649350649350649,0.315789473684211,0.388888888888889,0.0465116279069767,0.304347826086957,0.389830508474576,-0.0285714285714286,0.238095238095238,0.0476190476190476,-0.142857142857143,0.294117647058824,0.363636363636364,0.4,0.5,0.272727272727273,2,1,2,1,0,1,0,0,0,0,0,2,5,19,6,11,46,49,58,56,49,31,41,50,41,38,44,42,34,48,40,44,34,77,76,36,86,46,59,35,21,21,14,17,22,10,4,11
Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,1,0.5,0,-1,0,0,0,0,0,1,-1,0,-1,-1,0.333333333333333,-0.169230769230769,0.222222222222222,-0.12962962962963,0.147540983606557,0.155555555555556,0.290322580645161,0.176470588235294,0.032258064516129,0.0666666666666667,-0.2,-0.117647058823529,-0.225806451612903,0.0769230769230769,-0.222222222222222,-0.2,0.230769230769231,0.111111111111111,0.333333333333333,0.234567901234568,0.115789473684211,-0.361344537815126,-0.12,-0.178571428571429,-0.347826086956522,-0.0476190476190476,0.027027027027027,-0.0526315789473684,0.25,0.2,0.714285714285714,0.037037037037037,0.428571428571429,0.4,5,4,2,1,0,8,2,0,0,1,1,0,6,34,30,65,54,108,61,45,31,34,31,30,40,34,31,39,36,60,52,54,63,81,95,119,75,56,46,42,37,38,40,35,21,27,21,10
Lechmere Station at Cambridge St / First St,42.370677,-71.076529,-1,0.2,-0.8,-1,-1,-1,-1,-1,-1,0,-1,1,0.764705882352941,0.473684210526316,-0.125,0.419354838709677,-0.05,-0.385474860335196,-0.380281690140845,-0.315789473684211,0.3,-0.0697674418604651,0.419354838709677,0.225806451612903,0.212121212121212,-0.133333333333333,-0.151515151515152,0.214285714285714,-0.375,-0.142857142857143,0.111111111111111,-0.0666666666666667,0.111111111111111,0.0947368421052632,0.438356164383562,0.183673469387755,0.168316831683168,-0.157894736842105,-0.0163934426229508,-0.111111111111111,0.142857142857143,-0.230769230769231,0.181818181818182,-0.375,-0.3,-0.142857142857143,-0.142857142857143,0.652173913043478,1,5,10,4,4,3,1,3,1,0,3,2,17,19,32,62,80,179,142,76,60,43,31,31,33,30,33,28,48,28,27,30,45,95,146,147,101,76,61,45,35,26,22,16,20,7,7,23
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,0.166666666666667,0.5,0,-0.333333333333333,1,-1,1,0,1,0,-1,-1,-0.777777777777778,-0.96969696969697,-0.6875,-0.532710280373832,-0.104,-0.405940594059406,-0.138211382113821,-0.204301075268817,0.135135135135135,-0.357142857142857,0.347826086956522,0.125,-0.147540983606557,0.123287671232877,0.261538461538462,0.111111111111111,0.142857142857143,0.155555555555556,0.710843373493976,0.333333333333333,0.6,0.654320987654321,0.448275862068966,0.227272727272727,0.304347826086957,0.28,0.0574712643678161,0.115384615384615,0.213114754098361,0.315789473684211,-0.0476190476190476,-0.214285714285714,0.0769230769230769,0.181818181818182,-0.125,-0.125,12,4,6,3,2,2,1,2,1,0,1,15,18,66,32,107,125,202,123,93,74,56,46,80,61,73,65,54,35,45,83,48,110,81,116,132,138,100,87,52,61,38,21,28,26,22,16,32
