stationName,Lat,Long,tripRatio1,tripRatio2,tripRatio3,tripRatio4,tripRatio5,tripRatio6,tripRatio7,tripRatio8,tripRatio9,tripRatio10,tripRatio11,tripRatio12,tripRatio13,tripRatio14,tripRatio15,tripRatio16,tripRatio17,tripRatio18,tripRatio19,tripRatio20,tripRatio21,tripRatio22,tripRatio23,tripRatio24,tripRatio25,tripRatio26,tripRatio27,tripRatio28,tripRatio29,tripRatio30,tripRatio31,tripRatio32,tripRatio33,tripRatio34,tripRatio35,tripRatio36,tripRatio37,tripRatio38,tripRatio39,tripRatio40,tripRatio41,tripRatio42,tripRatio43,tripRatio44,tripRatio45,tripRatio46,tripRatio47,tripRatio48,totalTrips1,totalTrips2,totalTrips3,totalTrips4,totalTrips5,totalTrips6,totalTrips7,totalTrips8,totalTrips9,totalTrips10,totalTrips11,totalTrips12,totalTrips13,totalTrips14,totalTrips15,totalTrips16,totalTrips17,totalTrips18,totalTrips19,totalTrips20,totalTrips21,totalTrips22,totalTrips23,totalTrips24,totalTrips25,totalTrips26,totalTrips27,totalTrips28,totalTrips29,totalTrips30,totalTrips31,totalTrips32,totalTrips33,totalTrips34,totalTrips35,totalTrips36,totalTrips37,totalTrips38,totalTrips39,totalTrips40,totalTrips41,totalTrips42,totalTrips43,totalTrips44,totalTrips45,totalTrips46,totalTrips47,totalTrips48
Washington St. at Lenox St.,42.3348756,-71.0790969,-1,0,0,0,0,0,0,0,-1,1,1,1,1,0.636363636363636,0.8,-0.526315789473684,0.515151515151515,0.793103448275862,0.411764705882353,-0.2,0.428571428571429,0,0.666666666666667,0.111111111111111,-0.142857142857143,0,0,0.0909090909090909,0,-0.333333333333333,0,-0.5,0,0.818181818181818,-0.25,-0.375,-0.636363636363636,-0.428571428571429,-0.333333333333333,-0.692307692307692,-0.7,-0.25,-0.428571428571429,-1,-0.2,-0.777777777777778,0,-1,1,0,0,0,0,0,0,0,1,2,1,2,3,11,10,38,33,29,17,5,7,4,12,9,14,6,8,11,10,15,8,4,12,33,16,16,22,7,9,13,20,8,14,2,5,9,0,3
Newbury St / Hereford St,42.348724324009,-71.0858398675919,-0.5,-0.333333333333333,1,0.333333333333333,0,0,-1,0,0,0,0,-1,0.75,0.714285714285714,0.517241379310345,0.6,0.6,0.366666666666667,-0.0909090909090909,0.466666666666667,0.161290322580645,-0.0588235294117647,0.0526315789473684,-0.209302325581395,-0.170731707317073,-0.0833333333333333,-0.285714285714286,0.371428571428571,0,0.0526315789473684,0.152542372881356,-0.21875,-0.254237288135593,-0.173333333333333,-0.228070175438596,-0.178571428571429,-0.0927835051546392,0.05,-0.111111111111111,0.0649350649350649,0,-0.111111111111111,0.176470588235294,0.2,0.625,0.25,0.333333333333333,0,4,3,1,3,0,0,2,0,0,0,0,1,8,14,29,40,65,60,33,30,31,34,38,43,41,48,42,35,28,57,59,64,59,75,114,112,97,80,63,77,40,36,34,20,16,16,18,6
Beacon St / Mass Ave,42.350851,-71.089886,0.379310344827586,0.238095238095238,0.238095238095238,0.25,0.818181818181818,-0.5,-0.2,0.142857142857143,-1,0,-1,-0.333333333333333,0.8,0.894736842105263,0.714285714285714,0.409090909090909,0.758241758241758,0.862068965517241,0.587301587301587,0.303030303030303,0.309090909090909,0.15625,0.0689655172413793,0.178082191780822,-0.0652173913043478,0.135135135135135,0.15625,0.0909090909090909,-0.146341463414634,-0.298701298701299,-0.2,-0.341176470588235,-0.299270072992701,0.00591715976331361,-0.153846153846154,-0.0837988826815642,-0.234042553191489,-0.00671140939597315,-0.0869565217391304,-0.0967741935483871,0.2,0.263157894736842,-0.02,0.194029850746269,-0.0746268656716418,0.321428571428571,0.194029850746269,0.0967741935483871,29,21,21,16,11,8,5,7,4,0,1,3,10,57,49,44,91,87,63,66,55,64,58,73,92,74,64,55,82,77,95,85,137,169,182,179,188,149,138,93,110,95,100,67,67,56,67,31
Tremont St / West St,42.354979,-71.063348,-0.0909090909090909,1,0.2,0,-1,0,0,1,0,0,0,1,-0.2,-1,0.0526315789473684,-0.4,-0.35,0.0117647058823529,-0.207547169811321,-0.5,-0.0980392156862745,-0.2,0.0204081632653061,-0.0645161290322581,-0.345454545454545,0.104477611940299,0.08,0.0666666666666667,-0.2,-0.0175438596491228,0.0222222222222222,0.322033898305085,0.16,0.153846153846154,0.285714285714286,-0.024390243902439,0.0476190476190476,0.142857142857143,0.217391304347826,-0.04,0.161290322580645,0.217391304347826,0.578947368421053,0.0588235294117647,0.222222222222222,-0.333333333333333,-0.142857142857143,-0.2,11,3,5,0,1,0,0,1,0,0,0,2,5,7,19,50,80,85,53,32,51,20,49,62,55,67,50,60,40,57,45,59,50,78,126,123,105,70,46,25,31,23,19,17,18,9,7,5
Boylston / Mass Ave,42.347265,-71.088088,0.333333333333333,-0.333333333333333,-0.333333333333333,0,0,-1,1,0,0,-1,0,1,0.111111111111111,0.04,0.352941176470588,0.172413793103448,0.720930232558139,0.303571428571429,0.15625,0.35,0.2,0.032258064516129,0.0222222222222222,0.132075471698113,0.224489795918367,-0.0526315789473684,-0.0869565217391304,0.260869565217391,-0.0689655172413793,0.0294117647058824,-0.101123595505618,-0.36231884057971,0.0153846153846154,-0.230769230769231,-0.0467289719626168,-0.0608695652173913,-0.0740740740740741,-0.173333333333333,0.0555555555555556,-0.154929577464789,-0.0357142857142857,-0.0181818181818182,0.297297297297297,0,0.125,0.28,0.217391304347826,-0.0769230769230769,9,9,6,4,2,1,2,0,0,1,0,3,27,50,34,58,86,112,64,40,25,31,45,53,49,76,46,46,58,68,89,69,65,78,107,115,108,75,72,71,56,55,37,28,32,25,23,13
Dudley Square,42.328654,-71.084198,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.2,0.666666666666667,0,0.0434782608695652,-0.333333333333333,0.25,0,0.5,0.5,1,-0.428571428571429,-1,-0.75,0,0.428571428571429,0.333333333333333,-0.2,0.6,-0.2,0,-0.666666666666667,-0.263157894736842,-0.384615384615385,-0.2,0,0.333333333333333,1,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,12,23,3,8,4,4,4,1,7,1,8,4,7,3,5,5,5,8,12,19,13,5,4,3,1,3,6,6,6,0,0
The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,0,1,0,0.6,-1,1,0,0,0,0,-1,0,0.6,0.333333333333333,0.815789473684211,0.283950617283951,0.561643835616438,0.0638297872340425,0.166666666666667,0.132075471698113,-0.0434782608695652,-0.257142857142857,-0.210526315789474,-0.243243243243243,-0.191489361702128,0.0454545454545455,0.125,0.21875,-0.117647058823529,0,-0.225806451612903,-0.0136986301369863,-0.0140845070422535,-0.387755102040816,-0.2,-0.171428571428571,-0.0925925925925926,-0.230769230769231,0.0909090909090909,0,0.666666666666667,0.0526315789473684,-0.125,0.166666666666667,-0.4,-0.333333333333333,-1,-0.333333333333333,0,2,0,5,4,1,0,0,0,0,1,0,15,12,76,81,73,94,36,53,23,35,38,37,47,44,64,64,68,50,62,73,71,98,95,140,108,52,55,22,12,19,16,12,10,9,5,3
Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,0,0.5,0.666666666666667,0,1,0.5,1,1,0,0,1,0,0.333333333333333,0,-0.5,-0.52,-0.410526315789474,-0.350877192982456,-0.13953488372093,-0.075,0.161290322580645,0.555555555555556,0.142857142857143,-0.151515151515152,-0.0285714285714286,0.333333333333333,0.176470588235294,0.304347826086957,-0.024390243902439,-0.294117647058824,0,0.0638297872340425,0.04,-0.116883116883117,0.229508196721311,0.238095238095238,0.296703296703297,0.119047619047619,0.157894736842105,-0.0833333333333333,0.294117647058824,0.428571428571429,-0.333333333333333,0.181818181818182,-0.2,-0.555555555555556,0.428571428571429,0.6,2,4,6,2,1,4,1,1,0,0,1,2,3,8,12,75,95,114,86,80,31,36,28,33,35,42,34,46,41,34,32,47,50,77,122,105,91,84,38,24,17,7,18,22,20,18,7,5
Cambridge St. at Joy St.,42.361174,-71.065142,1,-1,0,-1,0,0,0,0,0,1,0.882352941176471,0.75,0.0434782608695652,0.684210526315789,0.513513513513513,0.142857142857143,0.114093959731544,-0.0193548387096774,0.0537634408602151,0.0526315789473684,0.225806451612903,0.032258064516129,-0.214285714285714,0.357142857142857,-0.105263157894737,-0.2,-0.333333333333333,-0.272727272727273,0.266666666666667,-0.333333333333333,-0.0612244897959184,0.05,-0.012987012987013,-0.126436781609195,0.0153846153846154,-0.0526315789473684,-0.326923076923077,-0.222222222222222,-0.0410958904109589,0,-0.0566037735849057,-0.185185185185185,0,-0.28,-0.0769230769230769,-0.666666666666667,0.176470588235294,-0.333333333333333,1,1,0,1,0,0,0,0,2,4,17,24,23,38,37,91,149,155,93,57,31,31,28,28,38,40,51,44,30,33,49,40,77,87,130,114,104,72,73,52,53,27,30,25,13,6,17,3
Charles Circle - Charles St. at Cambridge St.,42.3606249826905,-71.0708999633789,0.285714285714286,0.333333333333333,-0.714285714285714,0.2,0.2,1,0,1,-1,-0.666666666666667,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.0793650793650794,0.28735632183908,-0.008,0.292307692307692,0.382113821138211,-0.0864197530864197,0.0746268656716418,0.2,0.183673469387755,-0.024390243902439,0.152542372881356,-0.323076923076923,0,-0.114754098360656,-0.157894736842105,-0.268292682926829,-0.0491803278688525,-0.135135135135135,0.03125,0.0645161290322581,-0.0655737704918033,-0.0869565217391304,0.145631067961165,-0.032967032967033,0.120689655172414,0.0103092783505155,0.116883116883117,0,-0.166666666666667,-0.12,-0.235294117647059,-0.290322580645161,-0.538461538461538,0.529411764705882,-0.0909090909090909,14,3,7,5,5,2,0,1,2,6,9,9,39,63,87,125,130,123,81,67,55,49,41,59,65,62,61,76,41,61,74,64,124,122,184,206,182,116,97,77,70,36,50,34,31,13,17,11
